Date,High,Low,Open,Close,Volume,Adj Close
2018-02-02,15.699999809265137,14.949999809265137,15.399999618530273,15.100000381469727,621700.0,15.100000381469727
2018-02-05,15.850000381469727,14.699999809265137,15.0,14.899999618530273,651300.0,14.899999618530273
2018-02-06,15.949999809265137,14.40999984741211,14.5,15.949999809265137,928800.0,15.949999809265137
2018-02-07,18.899999618530273,16.110000610351562,16.200000762939453,18.200000762939453,2974800.0,18.200000762939453
2018-02-08,18.899999618530273,14.6899995803833,18.299999237060547,15.550000190734863,3056800.0,15.550000190734863
2018-02-09,16.049999237060547,13.800000190734863,16.049999237060547,14.079999923706055,2508800.0,14.079999923706055
2018-02-12,14.550000190734863,12.550000190734863,14.449999809265137,12.600000381469727,2639000.0,12.600000381469727
2018-02-13,12.800000190734863,11.5,12.600000381469727,11.899999618530273,2106800.0,11.899999618530273
2018-02-14,12.25,11.0,11.699999809265137,11.449999809265137,1799800.0,11.449999809265137
2018-02-15,12.199999809265137,10.5,11.5,12.050000190734863,2597200.0,12.050000190734863
2018-02-16,13.199999809265137,11.600000381469727,11.850000381469727,12.5,1575200.0,12.5
2018-02-20,12.600000381469727,11.479999542236328,12.550000190734863,11.600000381469727,1006400.0,11.600000381469727
2018-02-21,12.399999618530273,11.399999618530273,11.5,11.699999809265137,979200.0,11.699999809265137
2018-02-22,13.649999618530273,11.869999885559082,11.949999809265137,13.350000381469727,2142400.0,13.350000381469727
2018-02-23,13.850000381469727,12.75,13.350000381469727,13.449999809265137,1035900.0,13.449999809265137
2018-02-26,14.449999809265137,13.25,13.399999618530273,14.050000190734863,1002500.0,14.050000190734863
2018-02-27,14.699999809265137,13.899999618530273,14.100000381469727,13.949999809265137,874600.0,13.949999809265137
2018-02-28,14.449999809265137,13.5,13.850000381469727,13.850000381469727,690500.0,13.850000381469727
2018-03-01,14.199999809265137,13.449999809265137,13.550000190734863,14.0,692500.0,14.0
2018-03-02,15.649999618530273,13.600000381469727,13.800000190734863,15.5,1376500.0,15.5
2018-03-05,16.350000381469727,15.350000381469727,15.649999618530273,15.399999618530273,1376600.0,15.399999618530273
2018-03-06,16.200000762939453,15.350000381469727,15.5,15.75,1162400.0,15.75
2018-03-07,16.020000457763672,15.300000190734863,15.5,15.75,1195100.0,15.75
2018-03-08,15.949999809265137,14.649999618530273,15.949999809265137,15.100000381469727,951300.0,15.100000381469727
2018-03-09,15.800000190734863,15.180000305175781,15.300000190734863,15.300000190734863,769000.0,15.300000190734863
2018-03-12,16.049999237060547,15.210000038146973,15.25,15.800000190734863,848100.0,15.800000190734863
2018-03-13,16.350000381469727,14.930000305175781,16.0,15.100000381469727,1130300.0,15.100000381469727
2018-03-14,15.479999542236328,15.050000190734863,15.25,15.350000381469727,577100.0,15.350000381469727
2018-03-15,16.239999771118164,15.149999618530273,16.149999618530273,15.25,745400.0,15.25
2018-03-16,15.579999923706055,14.949999809265137,15.199999809265137,15.350000381469727,1024900.0,15.350000381469727
2018-03-19,15.479999542236328,13.699999809265137,14.949999809265137,13.979999542236328,1185500.0,13.979999542236328
2018-03-20,14.600000381469727,14.050000190734863,14.300000190734863,14.529999732971191,588200.0,14.529999732971191
2018-03-21,16.100000381469727,14.510000228881836,14.600000381469727,15.75,1024200.0,15.75
2018-03-22,15.699999809265137,14.800000190734863,15.399999618530273,14.800000190734863,663500.0,14.800000190734863
2018-03-23,15.0,13.899999618530273,14.800000190734863,14.050000190734863,584400.0,14.050000190734863
2018-03-26,15.100000381469727,14.149999618530273,14.149999618530273,15.050000190734863,927900.0,15.050000190734863
2018-03-27,15.25,13.800000190734863,15.050000190734863,14.0,1078800.0,14.0
